Order ID,AWB Number,Total weight as per X (KG),Weight slab as per X (KG),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,Expected Charge as per X (Rs.),Charges Billed by Courier Company (Rs.),Difference Between Expected Charges and Billed Charges (Rs.)
2001806232,1.09112E+12,1.302,1.5,1.3,1.5,d,d,45.4,135,89.6
2001806273,1.09112E+12,0.615,1.5,1,1.5,d,d,45.4,90.2,44.8
2001806408,1.09112E+12,2.265,1.5,2.5,1.5,d,d,90.2,224.6,134.4
2001807012,1.09112E+12,0.24,1.5,0.15,1.5,d,d,45.4,45.4,0
2001806686,1.09112E+12,0.24,1.5,0.15,1.5,d,d,45.4,45.4,0
2001807186,1.09112E+12,0.5,1.5,0.5,1.5,d,d,45.4,45.4,0
2001807290,1.09112E+12,0.5,1.5,0.5,1.5,d,d,45.4,45.4,0
2001807931,1.09112E+12,0.607,1.5,0.72,1.5,d,d,45.4,90.2,44.8
2001807960,1.09112E+12,0.93,1.5,1,1.5,d,d,45.4,90.2,44.8
2001807930,1.09112E+12,0.24,1.5,0.15,1.5,d,d,45.4,45.4,0
2001808102,1.09112E+12,1.157,1.5,1.28,1.5,d,d,45.4,135,89.6
2001808207,1.09112E+12,0.607,1.5,0.79,1.5,d,d,45.4,90.2,44.8
2001808542,1.09112E+12,0.734,1.5,0.86,1.5,d,d,45.4,90.2,44.8
2001807976,1.09112E+12,0.721,1.5,0.7,1.5,d,d,86.7,172.8,86.1
2001816684,1.09112E+12,0.92,1.5,0.99,1.5,d,d,86.7,172.8,86.1
2001817160,1.09112E+12,0.7,1.5,0.7,1.5,d,d,86.7,172.8,86.1
2001821190,1.09112E+12,1.2,1.5,1.2,1.5,d,d,86.7,258.9,172.2
2001823564,1.09112E+12,0.672,1.5,0.7,1.5,d,d,86.7,172.8,86.1
2001825261,1.09112E+12,1.557,1.5,1.6,1.5,d,d,86.7,345,258.3
2001811192,1.09112E+12,1.032,1.5,1.13,1.5,d,d,86.7,258.9,172.2
2001809917,1.09112E+12,0.63,1.5,0.6,1.5,d,d,86.7,172.8,86.1
2001806226,1.09112E+12,0.48,1.5,0.68,1.5,d,d,45.4,90.2,44.8
2001806229,1.09112E+12,0.5,1.5,0.71,1.5,d,d,45.4,90.2,44.8
2001806251,1.09112E+12,0.245,1.5,1.27,1.5,d,d,45.4,135,89.6
2001806338,1.09112E+12,0.5,1.5,0.7,1.5,d,d,45.4,90.2,44.8
2001806446,1.09112E+12,0.5,1.5,0.69,1.5,d,d,45.4,90.2,44.8
2001806533,1.09112E+12,0.5,1.5,0.68,1.5,d,d,45.4,90.2,44.8
2001806567,1.09112E+12,0.952,1.5,1.16,1.5,d,d,45.4,135,89.6
2001806652,1.09112E+12,0.5,1.5,0.69,1.5,d,d,45.4,90.2,44.8
2001806733,1.09112E+12,0.967,1.5,1.13,1.5,d,d,45.4,135,89.6
2001806735,1.09112E+12,0.5,1.5,0.69,1.5,d,d,45.4,90.2,44.8
2001806726,1.09112E+12,0.5,1.5,0.68,1.5,d,d,45.4,90.2,44.8
2001807004,1.09112E+12,0.5,1.5,0.68,1.5,d,d,45.4,90.2,44.8
2001807036,1.09112E+12,1.459,1.5,1.64,1.5,d,d,45.4,179.8,134.4
2001807084,1.09112E+12,0.5,1.5,0.67,1.5,d,d,45.4,90.2,44.8
2001807362,1.09112E+12,2.016,1.5,2,1.5,d,d,45.4,179.8,134.4
2001809794,1.09112E+12,1.517,1.5,1.5,1.5,d,d,45.4,135,89.6
2001809820,1.09112E+12,3.08,1.5,3,1.5,d,d,90.2,269.4,179.2
2001806471,1.09112E+12,1.621,1,1.7,1.5,b,d,61.3,179.8,118.5
2001807241,1.09112E+12,0.607,1,0.79,1.5,b,d,33,90.2,57.2
2001807981,1.09112E+12,0.5,1,0.5,1.5,b,d,33,45.4,12.4
2001808286,1.09112E+12,0.601,1,0.77,1.5,b,d,33,90.2,57.2
2001808837,1.09112E+12,0.5,1,0.67,1.5,b,d,33,90.2,57.2
2001808801,1.09112E+12,0.731,1,0.8,1.5,b,d,33,90.2,57.2
2001808475,1.09112E+12,0.5,1,0.7,1.5,b,d,33,90.2,57.2
2001810104,1.09112E+12,0.601,1,0.76,1.5,b,d,33,90.2,57.2
